VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"2/1/2022, 1:12:01 AM","2/1/2022, 1:25:45 AM",1,4.3,1,N,141,260,2,14.5,3,0.5,0,0,0.3,18.3,2.5,0
2,"2/1/2022, 1:15:26 AM","2/1/2022, 1:35:02 AM",1,3.12,1,N,79,107,1,14.5,0.5,0.5,2,0,0.3,20.3,2.5,0
2,"2/1/2022, 1:06:23 AM","2/1/2022, 1:23:05 AM",1,9.92,1,N,138,79,1,27.5,0.5,0.5,8.14,0,0.3,40.69,2.5,1.25
2,"2/1/2022, 1:30:59 AM","2/1/2022, 1:35:36 AM",2,1.1,1,N,137,162,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0
1,"2/1/2022, 1:25:16 AM","2/1/2022, 1:48:17 AM",1,11.1,1,N,138,45,1,32.5,4.25,0.5,2,0,0.3,39.55,2.5,1.25
2,"2/1/2022, 1:04:26 AM","2/1/2022, 1:17:25 AM",1,3.25,1,N,164,145,1,12.5,0.5,0.5,4.57,6.55,0.3,27.42,2.5,0
2,"2/1/2022, 1:10:07 AM","2/1/2022, 1:20:00 AM",1,3.49,1,N,141,114,1,11.5,0.5,0.5,3,0,0.3,18.3,2.5,0
2,"2/1/2022, 1:29:48 AM","2/1/2022, 1:50:16 AM",1,7.78,1,N,249,116,1,24,0.5,0.5,6.95,0,0.3,34.75,2.5,0
1,"2/1/2022, 1:13:12 AM","2/1/2022, 1:37:37 AM",1,9.4,1,N,132,121,2,29.5,1.75,0.5,0,0,0.3,32.05,0,1.25
1,"2/1/2022, 1:07:33 AM","2/1/2022, 1:15:34 AM",1,1.4,1,N,229,48,2,7,3,0.5,0,0,0.3,10.8,2.5,0
2,"2/1/2022, 1:25:52 AM","2/1/2022, 1:46:32 AM",1,14.61,1,N,132,179,2,39.5,0.5,0.5,0,0,0.3,42.05,0,1.25
1,"2/1/2022, 1:26:53 AM","2/1/2022, 1:43:15 AM",1,7.6,1,N,164,56,2,23.5,3,0.5,0,6.55,0.3,33.85,2.5,0
2,"2/1/2022, 1:04:39 AM","2/1/2022, 1:12:47 AM",1,1.72,1,N,249,231,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5,0
2,"2/1/2022, 1:07:28 AM","2/1/2022, 1:13:50 AM",6,1.83,1,N,170,113,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0
2,"2/1/2022, 1:17:10 AM","2/1/2022, 1:32:45 AM",6,4.44,1,N,107,146,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5,0
1,"2/1/2022, 1:10:58 AM","2/1/2022, 1:19:26 AM",1,1.5,1,N,107,144,1,8.5,3,0.5,1,0,0.3,13.3,2.5,0
1,"2/1/2022, 1:20:12 AM","2/1/2022, 1:24:42 AM",1,1.4,1,N,144,249,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5,0
1,"2/1/2022, 1:49:55 AM","2/1/2022, 2:05:14 AM",1,4.2,1,N,48,45,1,15,3,0.5,5,0,0.3,23.8,2.5,0
2,"2/1/2022, 1:04:35 AM","2/1/2022, 1:11:01 AM",1,1.18,1,N,107,114,1,6.5,0.5,0.5,3.09,0,0.3,13.39,2.5,0
2,"2/1/2022, 1:17:01 AM","2/1/2022, 1:36:11 AM",1,8.53,1,N,114,42,1,25.5,0.5,0.5,1,0,0.3,30.3,2.5,0
2,"2/1/2022, 1:11:46 AM","2/1/2022, 1:28:38 AM",1,7.26,1,N,161,244,1,22.5,0.5,0.5,5,0,0.3,31.3,2.5,0
